638	502	540
644	500	517
642	492	497
636	498	466
636	496	460
640	506	451
636	500	437
642	490	423
646	504	420
278	320	403
644	498	391
636	502	379
490	320	363
280	318	353
636	492	353
274	322	350
642	488	344
488	320	336
640	508	332
276	320	332
492	322	326
494	322	325
646	502	323
494	316	315
636	504	310
642	510	307
634	498	304
486	320	301
644	496	300
560	340	295
634	496	294
284	316	294
634	500	292
498	322	288
568	344	287
570	346	281
564	342	276
648	508	275
574	348	274
282	316	272
278	318	271
648	512	269
576	350	269
286	316	269
640	484	268
642	486	265
272	324	265
572	346	262
496	316	261
648	510	260
500	318	257
562	340	255
578	352	250
556	338	248
644	494	247
648	506	244
558	338	240
664	562	238
640	510	237
270	326	236
484	314	229
648	514	229
464	314	229
272	322	228
462	314	227
466	314	225
578	354	224
474	314	224
550	336	223
482	314	223
476	314	223
460	314	219
554	338	219
270	328	219
562	348	216
644	492	216
664	560	215
620	404	215
664	564	214
468	314	214
480	314	214
646	500	213
566	342	210
274	320	210
640	512	208
288	316	208
662	556	207
500	324	207
474	316	205
488	314	205
478	314	204
654	562	204
458	314	203
618	402	202
642	514	201
286	314	200
498	316	200
620	406	200
490	314	199
470	314	198
486	314	198
280	316	197
580	354	196
560	338	196
620	402	196
622	406	194
642	484	194
548	334	193
640	482	191
580	356	190
288	314	190
618	400	190
268	328	189
502	318	189
632	500	189
622	408	188
622	404	188
578	350	187
640	480	186
570	344	185
346	302	185
348	302	185
344	302	185
504	320	185
374	302	184
640	478	183
350	302	183
454	314	183
372	302	183
270	324	183
434	312	183
352	302	182
644	490	182
618	404	182
354	302	182
342	302	182
452	314	182
356	302	182
640	476	182
376	302	181
436	312	181
456	314	181
358	302	181
388	304	181
420	310	181
362	302	181
510	322	181
370	302	181
368	302	181
524	326	181
360	302	181
418	310	181
364	302	181
366	302	181
410	308	180
432	312	180
390	304	180
638	450	180
532	328	180
318	306	180
656	536	180
658	542	180
526	326	180
626	418	180
648	504	180
660	550	180
328	304	180
518	324	180
320	306	180
660	548	180
400	306	180
386	304	180
554	336	180
398	306	179
408	308	179
654	530	179
538	330	179
468	316	179
302	310	179
450	314	179
330	304	179
516	324	179
658	544	179
466	316	179
310	308	179
634	436	179
292	314	179
638	452	179
492	314	179
652	524	179
622	410	179
470	316	179
632	432	179
650	518	179
268	330	179
308	308	179
628	422	179
654	528	179
624	414	179
546	334	179
530	328	179
630	428	179
616	400	178
636	442	178
512	322	178
542	332	178
430	312	178
296	312	178
564	340	178
630	426	178
304	310	178
634	438	178
600	378	178
298	312	178
472	316	178
598	376	178
582	358	178
508	322	178
576	348	178
602	380	178
464	316	178
322	306	178
416	310	178
584	360	178
312	308	178
258	338	178
636	444	178
586	362	178
656	534	178
396	306	178
332	304	178
620	408	178
256	340	178
632	430	178
384	304	178
472	314	178
638	454	178
580	352	178
260	336	178
662	554	177
640	474	177
652	522	177
422	310	177
650	520	177
448	314	177
552	338	177
606	386	177
254	342	177
608	388	177
566	352	177
590	366	177
522	326	177
656	538	177
612	394	177
550	334	177
534	328	177
588	364	177
604	382	177
340	302	177
428	312	177
506	320	177
536	330	177
402	306	177
446	314	177
262	334	177
462	316	177
252	344	176
406	308	176
412	308	176
596	374	176
438	312	176
520	324	176
614	396	176
324	306	47
648	500	554
646	492	519
466	308	506
276	316	494
280	314	471
648	498	463
468	308	453
624	400	450
646	490	447
640	494	439
640	500	435
270	320	430
626	404	426
460	306	423
272	318	423
650	504	413
462	306	413
458	306	408
470	308	397
626	402	397
278	314	397
640	492	393
574	344	392
268	322	389
562	336	379
622	396	375
624	398	374
646	488	373
456	306	373
464	306	370
284	312	369
274	316	364
650	502	360
648	496	354
566	338	354
282	312	349
568	340	344
474	310	344
472	308	340
286	312	340
640	490	336
572	342	330
578	346	329
580	348	329
454	306	326
558	334	325
564	336	315
576	344	315
620	396	312
626	400	312
466	306	311
638	500	309
646	486	299
556	334	299
560	334	299
628	408	292
628	406	292
570	342	292
628	404	292
476	310	284
474	308	280
268	320	279
452	306	277
266	324	275
648	494	274
288	312	272
276	314	271
280	312	270
622	394	266
620	394	266
650	500	263
270	318	260
266	322	259
568	338	258
570	340	258
266	326	255
574	342	254
652	508	253
482	312	253
468	306	251
484	312	251
628	410	250
624	396	250
